"","day_in_future","RMSE_null","RMSE_forecast","RMSE_null_nonbloom","RMSE_forecast_nonbloom","R2_null","R2_forecast","R2_null_nonbloom","R2_forecast_nonbloom","RMSE_forecast_weekly","R2_forecast_weekly","RMSE_forecast_weekly_nonbloom","R2_forecast_weekly_nonbloom","RMSE_null_weekly","R2_null_weekly","RMSE_null_weekly_nonbloom","R2_null_weekly_nonbloom","RMSE_forecast_weekly_bloom","RMSE_null_weekly_bloom","RMSE_forecast_daily_bloom","RMSE_null_daily_bloom"
"1",1,0.178365971189652,1.50565548046419,0.48687526394256,1.05093985661937,0.99998795080748,0.965401160019564,0.979111553361664,0.877507480166414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75290426464234,4.75026130143795
"2",2,1.51854312513856,2.65376894517758,1.16470831504718,1.48742000901928,0.96535215792975,0.893300591118429,0.860662432374739,0.760781477712595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.37301042992836,4.75024901618713
"3",3,2.47221891748258,3.80676911314,1.53651496998471,1.93145790285514,0.908758938174592,0.783462358880324,0.760394619571197,0.623916803349871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8923003495746,4.75035821660379
"4",4,3.37563389780778,4.8508271134847,1.80517931987056,2.3915129197342,0.832980440166597,0.655739013260132,0.675648390022159,0.497950162068191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9777148612865,4.75041352433297
"5",5,4.24269680115368,5.77761311695175,2.02843357996724,2.78595405224797,0.74281778248175,0.525457954141284,0.5993000456791,0.414876877521176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8635061170191,4.7503972855603
"6",6,5.05232652548352,6.5920336696624,2.19289478464319,3.06209783530167,0.646408943581223,0.404585190642101,0.541140053048521,0.366906602636623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.0433240518956,4.75038842081528
"7",7,5.79010000968926,7.31830306747677,2.36106612937503,3.41675030494551,0.551237611306559,0.296776025061419,0.480804043789101,0.327462388212534,6.5330958163827,0.338846357792301,2.40072196323091,0.413509862309249,6.34357664064275,0.45951876588891,3.63279585293715,0.357016461417375,27.0595688781863,22.4047038957463,27.6798679689498,4.75050057655305
"8",8,6.47496188436599,7.94176365879032,2.47149333083746,3.82157545304129,0.459525714180883,0.208349778755485,0.441062817405282,0.301500989663371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.8190097352321,4.75039396988531
"9",9,7.08676992150483,8.46070729554173,2.58388552080904,4.21415156040232,0.377122267752228,0.13996837537594,0.40067028877358,0.284740600574407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.1877178824372,4.75041900857693
"10",10,7.64014402290602,8.86587566396105,2.69293483555933,4.71638189124959,0.304117647672884,0.0923471139711085,0.361891643308382,0.272868543775938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.8572323521909,4.75044409900248
"11",11,8.12467326982192,9.18093089871436,2.78165866979015,5.23213123199787,0.242804248894441,0.0605973315650187,0.330816429442098,0.271354371174073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.7514412635657,4.75040987114363
"12",12,8.54488063140821,9.42529281949555,2.86523020065689,5.49744571150976,0.192679203549421,0.0401445940398685,0.302017820073964,0.275723678839118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.6759304682088,4.7503734613961
"13",13,8.90374044714043,9.5991671820216,3.00142635984351,5.58206179310706,0.152805436826166,0.0277119395512115,0.256071259097621,0.286092106825723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5135845529632,4.75034334643651
"14",14,9.1887904688553,9.7053334031845,3.10109144103865,5.55376295641241,0.123482019659161,0.0210930436551094,0.224502846701685,0.302858000593478,7.9311260181965,0.0271286246197223,2.45523623328187,0.37511138238585,9.14466602974145,0.101411237901365,6.5904071830019,0.279329212413288,33.8103310855189,29.0359753768943,35.1864730757817,4.75051868238868
"15",15,9.41585806267279,9.77494742335696,3.2082095502282,5.49044613341595,0.101843031012004,0.0175009661187601,0.192202894887749,0.322788945727022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.6869790541829,4.75047083285005
"16",16,9.58776802476413,9.82169267876858,3.29644928064742,5.43499620980352,0.0864626193839809,0.0152404393415827,0.166515241827719,0.335571012795183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.0779508939839,4.7503984585355
