"day_in_future","RMSE_null","RMSE_forecast","RMSE_null_nonbloom","RMSE_forecast_nonbloom","R2_null","R2_forecast","R2_null_nonbloom","R2_forecast_nonbloom","RMSE_forecast_weekly","R2_forecast_weekly","RMSE_forecast_weekly_nonbloom","R2_forecast_weekly_nonbloom","RMSE_null_weekly","R2_null_weekly","RMSE_null_weekly_nonbloom","R2_null_weekly_nonbloom","RMSE_forecast_weekly_bloom","RMSE_null_weekly_bloom","RMSE_forecast_daily_bloom","RMSE_null_daily_bloom","RMSE_null_fortnightly","RMSE_forecast_fortnightly","RMSE_null_fortnightly_nonbloom","RMSE_forecast_fortnightly_nonbloom","RMSE_null_fortnightly_bloom","RMSE_forecast_fortnightly_bloom","RMSE_null_4day","RMSE_forecast_4day","RMSE_null_4day_nonbloom","RMSE_forecast_4day_nonbloom","RMSE_null_4day_bloom","RMSE_forecast_4day_bloom"
1,1.51579777552314,1.51031084389166,1.0652979886849,1.05445188428778,0.965365999345344,0.965019584461587,0.879422906827718,0.876854886013191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.78407778357117,0.189415975904217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2.46802568421555,2.6007760946276,1.43043823467567,1.44788239422831,0.908657725328515,0.896358003829226,0.785150590320573,0.766876336582696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.24899718223205,0.189472302278409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3.36724748933562,3.66297077248239,1.7225075716938,1.8432948327077,0.833032655197672,0.797083747173072,0.695073101783719,0.637349427526608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3905502554689,0.189532008465683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,4.23176999238729,4.69211741854066,1.9568465979004,2.29596436286479,0.7429487009603,0.675340796458302,0.614546520365871,0.497917949082694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.4261625800041,0.189597234537236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5.04033907911756,5.63695872934408,2.141978151687,2.72349455780476,0.646384235126703,0.547715447864059,0.548078757748666,0.394712271486668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.3372414053102,0.189575295126038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,5.77689821989191,6.4601106603908,2.33150612898729,3.04841860417349,0.551123241458771,0.429647690665687,0.478924748607451,0.329597105744071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3713067547786,0.189369944158538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,6.46115554141101,7.20588638038461,2.48084984220498,3.51195481399216,0.459190752929219,0.323802390040855,0.424101556902785,0.273122805522595,6.5330958163827,0.338846357792301,2.40072196323091,0.413509862309249,6.34357664064275,0.45951876588891,3.63279585293715,0.357016461417375,27.0595688781863,22.4047038957463,26.824096474923,0.189523069629228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,7.07170768367763,7.88281121124745,2.56521827306284,4.03271491504084,0.376722247163568,0.233052026706329,0.393579290631548,0.237979808390333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.81081958793,0.18954654562132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,7.62454098826983,8.47652477430767,2.6749442205661,4.61397662850929,0.303617318942861,0.161114593460023,0.354579058001292,0.214679580324356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.9346957024722,0.189593933515122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,8.10581728740432,8.97055243076266,2.77120447032973,5.32230942604712,0.242572987362627,0.108804069243542,0.320151224166095,0.200198750770252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.0837682434896,0.189551846185993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,8.52279888379026,9.36728807012882,2.83796845308722,6.12473162420589,0.19269578300702,0.0733978210788573,0.297678686964014,0.1928530748198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.3585511748724,0.189581224210528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,8.87919436457073,9.66693869668093,2.96286237101235,6.65071197956288,0.152982737765692,0.0504037328367731,0.255734737876578,0.191257710031697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.9072414568454,0.189546575231135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,9.16454119766834,9.90295015638224,3.05679452333491,6.9620485314658,0.12352787561218,0.03657301396849,0.225409204282729,0.197211219594432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.4912363324655,0.189492882903665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,9.39302051288423,10.0683019980151,3.16931984321345,7.10547568093109,0.101699127623494,0.0287070699914116,0.191015884041628,0.209518173851156,7.9311260181965,0.0271286246197223,2.45523623328187,0.37511138238585,9.14466602974145,0.101411237901365,6.5904071830019,0.279329212413288,33.8103310855189,29.0359753768943,32.0967246996572,0.189622269518445,11.0876192036098,8.13917283012535,8.18958008118156,3.08663296188709,33.6541772509545,33.001403284349,NA,NA,NA,NA,NA,NA
15,9.56257221913295,10.192666809947,3.23784483494854,7.18649907854406,0.086497909233145,0.0243766262779751,0.170029120426486,0.22200949049334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.5350435821924,0.189538506312386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,9.69396969583768,10.2853307519755,3.303880862905,7.24394022117967,0.0754028133027786,0.0221702783180694,0.151061043732988,0.23416258963179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.8523388431124,0.189648660194849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
