day_in_future,Forecast,Null,Forecast Non-bloom,Null Non-bloom,Forecast Bloom,Null Bloom
1,3.9,2.8,2.1,1.7,11.3,7.4
2,4.7,3.4,2.5,2.1,13.1,9.0
3,5.4,4.0,3.0,2.5,14.7,10.3
4,6.2,4.6,3.5,2.9,16.5,11.4
5,7.0,5.1,4.0,3.4,18.5,12.6
6,7.7,5.6,4.6,3.8,19.8,13.4
7,8.5,6.0,5.4,4.2,21.3,14.3
7*,6.1,6.7,3.5,4.6,16.1,16.2
8,9.2,6.5,6.4,4.6,21.3,14.7
9,9.9,6.8,7.5,5.0,20.8,14.9
10,10.5,7.1,8.9,5.3,18.9,15.0
11,11.1,7.4,9.9,5.6,17.6,15.0
12,11.5,7.6,10.5,5.7,17.2,15.4
13,11.9,7.7,11.0,5.9,17.1,15.5
14,12.3,7.9,11.4,5.9,17.5,15.9
14*,6.8,8.1,3.0,5.9,17.7,17.0
14',7.0,7.9,2.7,5.6,18.8,16.9
